risk ID,street addr,City,state,zip c,PARCEL_MATCH,MISSING_BUILDING,PX_CONST,PX_SQ_FT,PX_NO_FLOORS,PX_RHP_OCCUPANCY,PX_CSP_DETAIL,PX_Risk_Count
450053004470,428 BATTLEFIELD BLVD N,CHESAPEAKE,VA,23320,Yes,No,Non-Combustible,8600,1,Storage,Miscellaneous Products Storage - (other than Retail or Wholesale or Cold Storage),Single
31NY99021363,5821 8TH AVE,BROOKLYN,NY,11220,Yes,No,Joisted Masonry,6000,3,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
10GA99036761,1812 W HILL AVE,VALDOSTA,GA,31601,Yes,No,Frame,2976,1,Restaurant and Bar,Restaurants with Commercial Cooking,Single
42TX99478067,2605 PRESTON RD,FRISCO,TX,75034,Yes,Yes,Masonry Non-Combustible,158152,2,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99558209,8250 AGORA PKWY,SELMA,TX,78154,No,Yes,Non-Combustible,9198,1,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
31NY66019767,6752 5TH AVE,BROOKLYN,NY,11220,Yes,No,Joisted Masonry,8600,3,Apartment/Condominium,Apartments with Mercantile Occupancies - Up to 10 Units,Single
100031172350,2285 PEACHTREE RD NE,ATLANTA,GA,30309,Yes,Yes,Fire Resistive,103380,12,Apartment/Condominium,Apartments with Mercantile Occupancies - Over 30 Units,Single
100203018600,2190 COFFEE RD,DEKALB,GA,30058,Yes,No,Non-Combustible,24960,1,Motor Vehicle/Aircraft Hanger,"Aircraft Hangars with Repairing, Motor Vehicle Repairing Including Auto Body Shops, with or without Sales",Single
39SC99002240,9600 N KINGS HWY,HORRY,SC,29572,No,Yes,Non-Combustible,17275,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
10465008240,2009 BOB WALLACE AVE SW,HUNTSVILLE,AL ,35805,Yes,No,Masonry Non-Combustible,11233,1,Motor Vehicle/Aircraft Hanger,"Auto Parking Garages, Car Washes",Single
29NJ99027340,311 RARITAN AVE,HIGHLAND PARK,NJ,8904,Yes,No,Frame,3656,2,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
31NY66021323,663 VANDERBILT AVE,BROOKLYN,NY,11238,No,No,Joisted Masonry,2752,3,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
420001781158,1491 W SOUTH LOOP,STEPHENVILLE,TX,76401,Yes,No,Masonry Non-Combustible,41400,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
29NJ99000288,460 MILLTOWN RD,BRIDGEWATER,NJ,8807,Yes,No,Non-Combustible,43905,2,"Mercantile > 15,000 square feet","Sole Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage, Other than Food Risks",Single
100031389156,1230 PEACHTREE ST NE,ATLANTA,GA,30309,Yes,Yes,Fire Resistive,964964,40,Office and banks,Non-Governmental Offices and Banks,Single
10GA99043466,50 SYLVESTER C FORMEY DR,SAVANNAH,GA,31408,Yes,No,Frame,68700,4,Hotel & Motel w/out Restaurant,Motels and Hotels without Restaurant - Over 30 Units,Single
31NY99019085,834 62ND ST,BROOKLYN,NY,11220,Yes,No,Joisted Masonry,5866,1,Restaurant and Bar,Restaurants with Commercial Cooking,Single
10GA66001569,12905 HIGHWAY 9 N,ALPHARETTA,GA,30004,Yes,No,Masonry Non-Combustible,10000,1,Motor Vehicle/Aircraft Hanger,"Auto Parking Garages, Car Washes",Single
09FL99230086,1001 36 ST,W PALM BEACH,FL,33407,Yes,No,#N/A,#N/A,#N/A,#N/A,#N/A,Single
10GA99386801,851 HICKORY FLAT HWY,CHEROKEE,GA,30115,No,No,Masonry Non-Combustible,100704,1,Metal Manufacturing,"Metalworking, NOC",Single
09FL99181239,110 SE 6TH ST,FORT LAUDERDALE,FL,33301,Yes,No,Modified Fire Resistive,815646,30,Motor Vehicle/Aircraft Hanger,"Auto Parking Garages, Car Washes",Single
31NY99010087,135 GARDNER AVE,BROOKLYN,NY,11237,No,Yes,Masonry Non-Combustible,24700,1,Storage,Miscellaneous Products Storage - (other than Retail or Wholesale or Cold Storage),Single
09FL99234324,700 STARKEY RD,LARGO,FL,33771,No,No,Fire Resistive,69315,6,Apartment/Condominium,Residential Condominiums without Mercantile Occupancies - Over 30 Units,Single
10GA99034473,4970 COWAN RD,COBB,GA,30101,Yes,No,Frame,14334,2,Hotel & Motel w/out Restaurant,Motels and Hotels without Restaurant - 10 to 30 Units,Single
42TX99520191,5275 BARKER CYPRESS RD,HARRIS,TX,77084,Yes,No,Non-Combustible,19950,1,Wood Manufacturing,"Furniture and Other Wood Products, NOC",Single
190020046950,6000 EASTERN AVE,BALTIMORE CITY,MD,21224,Yes,No,Joisted Masonry,4920,2,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
190020130460,1 E PRATT ST,BALTIMORE CITY,MD,21202,Yes,No,Non-Combustible,411788,11,Office and banks,Non-Governmental Offices and Banks,Single
45VA99146691,3483 VIRGINIA AVE,HENRY,VA,24078,No,Yes,Joisted Masonry,48884,3,Wood Manufacturing,"Furniture and Other Wood Products, NOC",Single
10GA66006743,3590 CHEROKEE ST NW,COBB,GA,30144,No,Yes,Frame,12096,3,Office and banks,Non-Governmental Offices and Banks,Single
09FL99226607,250 NE 3 AVE,DELRAY BEACH,FL,33444,No,No,Fire Resistive,134720,5,Apartment/Condominium,Residential Condominiums without Mercantile Occupancies - Over 30 Units,Single
390400366253,1333 MAIN ST,COLUMBIA,SC,29201,Yes,No,Fire Resistive,209900,8,Office and banks,Non-Governmental Offices and Banks,Single
42TX99530312,1311 WELLBORN RD,COLLEGE STATION,TX,77840,Yes,No,Non-Combustible,6000,1,School,"Schools, Academic",Single
10GA99386799,4680 N ROYAL ATLANTA DR,DEKALB,GA,30084,No,No,Masonry Non-Combustible,4500,1,"Mercantile < 15,000 square feet","Risks Having Moderate Susceptibility Personal Property, NOC",Single
29NJ66018985,130 BLACK HORSE PIKE,HADDON,NJ,8106,No,Yes,Masonry Non-Combustible,10000,1,"Mercantile < 15,000 square feet","Risks Having Moderate Susceptibility Personal Property, NOC",Single
29NJ99019125,202 CARNEGIE CTR,W WINDSOR,NJ,8540,Yes,No,Masonry Non-Combustible,130486,3,Office and banks,Non-Governmental Offices and Banks,Single
09FL99224816,1625 S CONGRESS AVE,DELRAY BEACH,FL,33445,Yes,No,Non-Combustible,82193,4,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
450238006425,116 S INDEPENDENCE BLVD,VIRGINIA BEACH,VA,23462,Yes,No,Non-Combustible,35100,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99551445,107 YALE ST,HOUSTON,TX,77007,Yes,0,Non-Combustible,13869,1,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
100111408866,291 N INDUSTRIAL WAY,CANTON,GA,30115,Yes,No,Non-Combustible,72988,1,Other Manufacturing,Paper and Paper Products Processing,Single
42TX99498913,1300 BROADWAY ST,PEARLAND,TX,77581,Yes,No,Frame,5162,1,Restaurant and Bar,Restaurants with Commercial Cooking,Single
10GA99051108,1942 ATKINSON RD,GWINNETT,GA,30043,Yes,No,Non-Combustible,20024,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
290026030997,50 KENNY PL,SADDLE BROOK,NJ,7663,Yes,No,Modified Fire Resistive,112454,12,Hotel & Motel w/Restaurant,Motels and Hotels with Restaurant - Over 30 Units,Single
42TX99820152,1301 E HENDERSON ST,CLEBURNE,TX,76031,Yes,No,Non-Combustible,7230,1,Motor Vehicle/Aircraft Hanger,"Aircraft Hangars with Repairing, Motor Vehicle Repairing Including Auto Body Shops, with or without Sales",Single
19MD99019621,1900 MARYLAND AVE,BALTIMORE CITY,MD,21218,Yes,No,Joisted Masonry,20694,4,Apartment/Condominium,Apartments without Mercantile Occupancies - Up to 10 Units,Single
42TX99528344,2875 MAIN ST,FRISCO,TX,75034,Yes,No,Non-Combustible,10216,1,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
324102000730,1001 SPRINGWOOD AVE,GIBSONVILLE,NC,27249,Yes,No,Masonry Non-Combustible,101555,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
19MD99001469,4823 INDIAN LN,PRINCE GEORGES,MD,20740,Yes,Yes,Frame,446,1,"Mercantile < 15,000 square feet",Furniture and Home Furnishings other than Appliances,Single
32NC99010870,5900 HARRIS TECHNOLOGY BLVD,CHARLOTTE,NC,28269,Yes,No,Masonry Non-Combustible,35800,1,Office and banks,Non-Governmental Offices and Banks,Single
10GA99019423,5780 WINDWARD PKWY,ALPHARETTA,GA,30005,Yes,No,Non-Combustible,31620,3,Office and banks,Non-Governmental Offices and Banks,Single
10GA99029370,3693 COBB PKWY NW,COBB,GA,30101,Yes,No,Masonry Non-Combustible,63070,1,Motor Vehicle/Aircraft Hanger,"Aircraft Hangars with Repairing, Motor Vehicle Repairing Including Auto Body Shops, with or without Sales",Multiple
10GA99029371,3693 COBB PKWY NW,COBB,GA,30101,Yes,No,Masonry Non-Combustible,19950,1,Motor Vehicle/Aircraft Hanger,"Aircraft Hangars with Repairing, Motor Vehicle Repairing Including Auto Body Shops, with or without Sales",Multiple
